id, first_name, last_name, phone, adress
1, dima, litmanovich, +375295854848, 40 yeras of Vicory 31-809
2, anton, zhmyx, +375292281488, Platona 320-32
3, egor, phikalis, +375254556228, Nezavisimosti 132
4, pavel, bulgakov, +375442588522, Antonova 23-32
5, dima, zhmyx, +375295854838, 40 yeras of Vicory 32-309
6, anton, litmanovich, +375293281488, Platona 310-34
7, egor, bulgakov, +375254556228, Nezavisimosti 173
8, pavel,  phikalis, +375442588522, Antonova 73-37
9, dima, litmanovich, +375298854848, 40 yeras of Vicory 31-809
10, vladimir, zhmyx, +375298281488, Platona 620-32
11, irina, phikalis, +375258556228, Nezavisimosti 182
12, vladislav, bulgakov, +375252588522, Antonova 23-382
13, alex, pavlov, +375255854838, 40 yeras of Vicory 382-309
14, anfrey, galickiy, +375333281488, Platona 310-384
15, kirill, naymov, +375254551228, Nezavisimosti 373
16, nikita, pluschenko, +375332588522, Antonova 73-87
